Date,Open,High,Low,Close,Adj Close,Volume
2019-07-05,68.139999,68.139999,67.290001,67.660004,67.136162,307000
2019-07-08,67.360001,67.760002,65.970001,66.260002,65.747002,527800
2019-07-09,64.430000,65.320000,63.939999,65.309998,64.804352,674200
2019-07-10,64.690002,65.389999,64.559998,64.989998,64.486824,653900
2019-07-11,65.000000,65.400002,63.380001,63.439999,62.948830,682600
2019-07-12,63.759998,63.970001,63.180000,63.650002,63.157204,688900
2019-07-15,63.810001,64.400002,63.590000,63.770000,63.276276,489500
2019-07-16,63.919998,65.400002,63.610001,64.620003,64.119698,304200
2019-07-17,65.339996,65.410004,63.840000,63.869999,63.375500,387300
2019-07-18,63.630001,64.690002,63.500000,64.620003,64.119698,495700
2019-07-19,64.050003,64.470001,63.880001,64.309998,63.812092,400200
2019-07-22,65.669998,66.559998,65.510002,65.910004,65.399712,505500
2019-07-23,64.650002,65.650002,64.489998,65.330002,64.824196,610600
2019-07-24,65.790001,66.120003,64.790001,64.889999,64.387604,550600
2019-07-25,64.410004,64.660004,63.360001,63.880001,63.385426,344800
2019-07-26,63.020000,64.239998,63.020000,63.630001,63.137360,401500
2019-07-29,62.000000,64.199997,61.779999,63.919998,63.425110,861100
2019-07-30,62.070000,62.470001,61.230000,62.119999,61.639050,598300
2019-07-31,62.820000,63.330002,62.020000,62.130001,61.648972,561200
2019-08-01,61.869999,62.520000,61.230000,61.990002,61.510056,624400
2019-08-02,61.700001,62.169998,61.090000,61.320000,60.845242,429400
2019-08-05,60.799999,60.849998,59.750000,60.430000,59.962135,475600
2019-08-06,60.410000,61.160000,60.060001,60.919998,60.448338,426900
2019-08-07,61.000000,61.779999,60.950001,61.560001,61.083385,396300
2019-08-08,61.439999,61.689999,60.590000,61.630001,61.152843,325400
2019-08-09,60.000000,61.029999,59.470001,60.000000,59.535461,610700
2019-08-12,59.250000,60.500000,59.250000,60.000000,59.535461,412600
2019-08-13,59.549999,60.580002,59.220001,60.020000,59.555309,414100
2019-08-14,58.259998,59.279999,57.820000,59.049999,58.592815,609100
2019-08-15,57.849998,58.509998,57.740002,58.380001,57.928005,594400
2019-08-16,55.930000,58.220001,55.750000,57.970001,57.521179,881300
2019-08-19,58.480000,59.150002,58.389999,58.470001,58.017311,593400
2019-08-20,57.459999,57.490002,56.619999,57.049999,56.608303,489800
2019-08-21,57.009998,57.259998,56.410000,56.910000,56.469387,596600
2019-08-22,56.750000,57.400002,56.580002,57.040001,56.598381,596900
2019-08-23,57.230000,57.619999,56.779999,56.869999,56.429695,407300
2019-08-26,56.980000,57.360001,56.639999,56.669998,56.231243,285200
2019-08-27,58.119999,58.459999,57.000000,57.130001,56.687683,1190700
2019-08-28,56.849998,57.160000,56.180000,56.750000,56.310627,567100
2019-08-29,58.169998,58.259998,57.369999,57.500000,57.054817,613900
2019-08-30,58.139999,58.380001,56.990002,57.299999,56.856365,556200
2019-09-03,57.000000,57.950001,56.820000,57.669998,57.223499,699700
2019-09-04,58.759998,58.759998,57.910000,57.970001,57.521179,298600
2019-09-05,58.849998,59.459999,58.750000,58.849998,58.394363,865700
2019-09-06,59.509998,60.070000,59.189999,59.639999,59.178249,414600
2019-09-09,60.029999,60.599998,59.700001,60.160000,59.694225,387900
2019-09-10,61.980000,62.580002,61.549999,61.849998,61.371140,674400
2019-09-11,63.490002,63.779999,62.830002,63.139999,62.651150,669400
2019-09-12,62.540001,62.680000,60.970001,61.000000,60.527721,426400
2019-09-13,64.000000,64.250000,63.389999,63.430000,62.938908,511000
2019-09-16,62.799999,63.119999,62.220001,62.900002,62.413013,558700
2019-09-17,61.779999,62.509998,61.570000,62.130001,61.648972,476200
2019-09-18,61.529999,62.340000,61.290001,62.250000,61.768044,1057400
2019-09-19,61.910000,63.090000,61.900002,62.470001,61.986340,535900
2019-09-20,63.290001,63.330002,62.529999,62.970001,62.482468,443700
2019-09-23,62.709999,64.430000,62.320000,64.220001,63.722790,595700
2019-09-24,64.550003,65.269997,64.470001,64.800003,64.298302,875900
2019-09-25,64.900002,65.150002,64.730003,65.059998,64.556282,284800
2019-09-26,64.940002,65.370003,64.610001,65.250000,64.744820,476600
2019-09-27,65.440002,65.760002,65.000000,65.410004,64.903580,348500
2019-09-30,66.800003,66.800003,65.389999,66.379997,65.866066,414800
2019-10-01,67.300003,67.690002,65.790001,66.360001,65.846222,409700
2019-10-02,65.269997,65.910004,64.889999,65.790001,65.280640,697300
2019-10-03,65.470001,66.209999,65.099998,66.209999,65.697380,331200
2019-10-04,65.980003,66.250000,65.379997,66.199997,65.687454,472200
2019-10-07,67.510002,68.059998,66.830002,67.930000,67.404068,367900
2019-10-08,66.470001,66.519997,65.769997,66.010002,65.498932,451800
2019-10-09,69.129997,69.669998,68.599998,68.800003,68.267334,1247100
2019-10-10,69.099998,69.980003,68.260002,69.339996,68.803146,1369300
2019-10-11,73.459999,74.309998,72.959999,73.580002,73.010323,783500
2019-10-14,73.209999,73.440002,72.500000,73.010002,72.444740,315500
2019-10-15,73.260002,75.070000,72.769997,74.190002,73.615601,540400
2019-10-16,74.300003,74.300003,72.379997,72.489998,71.928757,454300
2019-10-17,73.089996,74.690002,72.919998,74.370003,73.794212,471600
2019-10-18,74.019997,74.169998,72.629997,72.959999,72.395119,328400
2019-10-21,74.690002,74.800003,74.019997,74.379997,73.804123,419100
2019-10-22,74.209999,74.400002,73.260002,73.330002,72.762260,593100
2019-10-23,73.830002,74.260002,73.610001,74.239998,73.665207,194600
2019-10-24,74.110001,74.629997,73.739998,74.080002,73.506454,196100
2019-10-25,72.879997,73.790001,72.730003,73.709999,73.139313,326300
2019-10-28,72.709999,74.199997,72.709999,74.019997,73.446915,298900
2019-10-29,74.480003,74.820000,73.550003,73.849998,73.278229,230300
2019-10-30,73.809998,75.360001,73.639999,75.029999,74.449097,202100
2019-10-31,75.720001,76.139999,74.449997,74.639999,74.062119,266700
2019-11-01,74.970001,77.029999,74.970001,76.650002,76.056557,372000
2019-11-04,82.629997,83.879997,81.739998,83.349998,82.704681,777600
2019-11-05,82.510002,83.820000,82.199997,82.559998,81.920792,786100
2019-11-06,83.449997,83.970001,83.040001,83.750000,83.101585,513200
2019-11-07,84.699997,85.660004,84.699997,85.120003,84.460976,707800
2019-11-08,84.949997,85.430000,84.699997,85.209999,84.550278,274400
2019-11-11,84.120003,85.470001,83.839996,85.349998,84.689194,320900
2019-11-12,85.570000,85.570000,84.860001,85.510002,84.847961,310400
2019-11-13,84.879997,85.550003,84.650002,85.309998,84.649506,316900
